店の名前,駅からの距離,店のカテゴリ(キーワード),紹介文,評価,コメント数,ブックマーク数,夜の予算,昼の予算,住所,緯度,経度
フォルクス 中環千里店,山田駅 801m,ファミレス、ステーキ、ハンバーグ,どなたにもお気軽にお楽しみいただけるごちそう☆★ステーキを食べるなら断然【VOLKS】,3.08,74,661,"￥2,000～￥2,999","￥1,000～￥1,999",大阪府吹田市津雲台7-66-12,34.805275,135.505859
MESON Hasta Manana,吹田（ＪＲ）駅 298m,スペイン料理、居酒屋、海鮮,御予約のお客様に時間制限はありません。 閉店時間は22:00ですので宜しくお願い致します。,3.25,43,2476,"￥3,000～￥3,999",-,大阪府吹田市朝日町25-1,34.76165,135.526276
精肉卸問屋直営焼肉店 牛次郎 江坂店,江坂駅 569m,焼肉、ホルモン、居酒屋,精肉卸直営が体現する『A5黒毛和牛』にこだわり抜いた話題の焼肉店。【江坂駅徒歩5分】,3.38,155,6358,"￥5,000～￥5,999","￥1,000～￥1,999",大阪府吹田市江坂町2-2-9 清洲江坂ビル 1F,34.763592,135.496017
good spoon 江坂公園店,江坂駅 159m,イタリアン、カフェ、スペイン料理,【ビアガーデン・歓送迎会・女子会・誕生日会にも♫江坂公園内のイタリアンレストラン】,3.44,345,8454,"￥2,000～￥2,999","￥1,000～￥1,999",大阪府吹田市江坂町1-19-38,34.759125,135.498642
うたた屋,江坂駅 437m,焼き鳥、鳥料理、居酒屋,【完全個室有り】手間暇かけた本格的な焼鳥を気軽な雰囲気でゆったり堪能,3.54,127,5175,"￥5,000～￥5,999",-,大阪府吹田市江の木町8-12 第2足立ビル,34.756771,135.492661
韓国料理専門店チカチキン 江坂店,江坂駅 488m,韓国料理、居酒屋,歓送迎会ご予約受付中！韓国人が作る絶品チキンやサムギョプサルをお酒と共に♪団体貸切りも歓迎,3.09,23,472,"￥2,000～￥2,999","￥1,000～￥1,999",大阪府吹田市江坂町2-6-14 1F,34.762074,135.493454
江坂ビストロ リアン,江坂駅 275m,ビストロ、パスタ、ハンバーグ,【江の木公園前】ビストロを味わう。平日は19時までハッピーアワー開催中◎個室もございます！,3.52,175,5630,"￥4,000～￥4,999","￥1,000～￥1,999",大阪府吹田市江の木町2-26 カンパニオ江坂 2F,34.75658,135.495193
敦煌 江坂店,江坂駅 181m,中華料理、居酒屋、アジア・エスニック,【江坂駅より徒歩3分】4名～40名様まで大小個室完備◎『飲放付コース』も充実♪5600円～,3.27,106,2079,"￥3,000～￥3,999",～￥999,大阪府吹田市江坂町1-22-12,34.757824,135.49884
一級 江坂本店,江坂駅 437m,もつ鍋、居酒屋、スポーツバー,メディアも紹介の極上《博多もつ鍋》《団体様OK》極上もつ鍋など幅広い鍋を楽しめます,3.3,111,4677,"￥3,000～￥3,999",-,大阪府吹田市江の木町8-12 足立第二ビル　１Ｆ,34.756771,135.492661
江坂海鮮食堂 はなれ おーうえすと,江坂駅 110m,居酒屋、海鮮、寿司,【江坂駅すぐ！毎日通し営業で昼飲み大歓迎✨】全国から極上の鮮魚が集まる海鮮居酒屋食堂っ❗️,3.21,33,757,"￥3,000～￥3,999","￥1,000～￥1,999",大阪府吹田市江坂町1-22-10 梓ビル 1F F,34.757999,135.49884
原価ビストロチーズプラス 江坂,江坂駅 84m,イタリアン、ダイニングバー、ビストロ,女子ウケ＆インスタ映え→チーズ料理！ソフドリ1円！サワー75円⁉️安くて旨いだけじゃない！,3.1,125,3686,"￥2,000～￥2,999",～￥999,大阪府吹田市江坂町1-23-32 リバーホール江坂 1F,34.757893,135.49733
わいどや 吹田店,吹田（ＪＲ）駅 461m,たこ焼き、からあげ,【吹田駅5分】鰹出汁のたこやき＆唐揚げを気軽に楽しめる、創業23年目の老舗店！2軒目利用◎,3.04,5,92,"￥1,000～￥1,999",-,大阪府吹田市内本町2-1-3,34.759403,135.525604
ハラミとタン厚切りステーキの店 肉バルガブット 吹田店,吹田（ＪＲ）駅 324m,肉バル、イタリアン,新年会シーズン到来,3.3,60,1467,"￥3,000～￥3,999","￥1,000～￥1,999",大阪府吹田市片山町1-5-10 ダイオービル 1F,34.766113,135.523346
あぶりや 江坂店,江坂駅 150m,焼肉、ホルモン,プロ厳選のお肉と贅沢なサイドメニュー。ひとつ上の食べ放題にこだわった焼肉店,3.08,56,1638,"￥4,000～￥4,999","￥4,000～￥4,999",大阪府吹田市江の木町1-39 SERE江坂 3F,34.757469,135.496399
Cotton 江坂店,江坂駅 698m,イタリアン、ピザ、バル,イタリアのカフェをモチーフにした温かい空間で、新鮮野菜の石窯ピッツァ×多彩なワインを満喫,3.18,39,1194,"￥4,000～￥4,999","￥1,000～￥1,999",大阪府吹田市南吹田5-24-5,34.753048,135.500809
つがい,江坂駅 440m,鍋、焼き鳥、居酒屋,【完全個室】紀州鴨しゃぶ鍋や淡海地鶏の鶏鍋でゆっくり愉しむお店,3.07,16,1450,"￥8,000～￥9,999",-,大阪府吹田市江の木町8-12 第2足立ビル 106,34.756771,135.492661
ダイニングダーツバーBee 江坂店,江坂駅 49m,ダーツ、ダイニングバー、バー,★江坂駅から徒歩１分★遊びながらお酒とお食事が朝まで楽しめます★当日飲み放題/貸切もＯＫ♪,3.01,3,149,"￥3,000～￥3,999","￥2,000～￥2,999",大阪府吹田市江坂町1-23-27 グウ江坂ビル　２Ｆ,34.757652,135.49762
タッカンマリ専門店오빠 江坂本店,江坂駅 249m,韓国料理,江坂駅3分◆本場の味をそのままに◎アットホームな空間で味わう旨味溢れる絶品“タッカンマリ”,3.25,44,1275,"￥5,000～￥5,999",-,大阪府吹田市江の木町1-24 紙谷第3マンション 1F,34.756508,135.495956
榮華亭 江坂店,江坂駅 114m,焼肉、ホルモン、韓国料理,"【江坂駅から3分】コスパ・クオリティ・食べ飲み放題が揃った炭火焼肉◎食べ放題2,800円～",3.05,43,1012,"￥3,000～￥3,999",-,大阪府吹田市江坂町1-22-10 第一梓ビル　２Ｆ,34.757999,135.49884
牛角 吹田上山手店,吹田市,焼肉、ホルモン,★焼肉と言えば「牛角」★ 焼肉には人を元気にする魔法があるッ。,3.05,28,313,"￥3,000～￥3,999",～￥999,大阪府吹田市上山手町27-3,34.777771,135.517502
ビタレーザ キッチン,山田駅 231m,カフェ、イタリアン、パスタ,【山田駅5分】心も身体も満たすヘルシーな一皿♪アフタヌーンティーや限定ディナーもお気軽に◎,3.23,57,1531,"￥2,000～￥2,999","￥1,000～￥1,999",大阪府吹田市津雲台5-11-2 グローバルビレッジ津雲台 つくもスクエア 1F,34.803223,135.513718
翠園,江坂駅 863m,中華料理、飲茶・点心、中華粥,モダンチャイニーズと繊細さの融合。伝統と革新が響き合う広東料理を、レトロな美空間で愉しむ,3.38,86,10162,"￥10,000～￥14,999","￥2,000～￥2,999",大阪府吹田市芳野町13-45 アメニティ江坂内,34.755905,135.490189
七輪焼肉 安安 関大前店,関大前駅 111m,焼肉、居酒屋、ホルモン,「安い・旨い・お腹いっぱい」の限界突破！！土日祝も元気に営業しています♪,3.05,8,80,"￥2,000～￥2,999","￥1,000～￥1,999",大阪府吹田市千里山東1-4-12 興亜殖産関大前ビル 2F,34.771973,135.506119
那ゆたや,江坂駅 515m,焼き鳥、鳥料理、居酒屋,【江坂駅より徒歩5分程】 素材・串打ち・炭火…手間を惜しまず焼き上げる焼き鳥や逸品・お飲み物,3.39,128,5190,"￥5,000～￥5,999",-,大阪府吹田市江坂町2-3-4,34.763229,135.49617
結月庵そじ坊 ららぽーとEXPOCITY店,万博記念公園駅 462m,そば、居酒屋,店内製麺の本格信州そばと黄金色のお出汁が自慢◆生わさびで味わう一杯,3.07,80,424,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府吹田市千里万博公園2-1 ららぽーとEXPOCITY 2F,34.805485,135.53392
寅次郎 2号店,吹田（ＪＲ）駅 299m,居酒屋、海鮮、天ぷら,吹田駅5分♪市場から仕入れる新鮮な鮪や居酒屋料理、コース、ドリンクを【驚安価格】でご提供！,3.05,5,115,"￥2,000～￥2,999",-,大阪府吹田市昭和町10-17 タイホウドウビル 201,34.762554,135.526794
博多流 神屋,江坂駅 591m,もつ鍋、居酒屋、海鮮,江坂駅4分/絶品博多もつ鍋＆熊本直送馬刺し他、九州料理に舌鼓♪お得なコース予約も大歓迎！,3.09,40,1613,"￥4,000～￥4,999",-,大阪府吹田市江坂町2-1-8 江坂ハイデンス 1F,34.763123,135.496719
焼鳥と博多名物野菜巻串 焼きんしゃい 江坂店,江坂駅 49m,居酒屋、焼き鳥、鍋,［江坂駅より徒歩１分！］使い勝手の良いコスパ最高な居酒屋！飲み放題付コース3850円～,3.18,56,1671,"￥3,000～￥3,999",-,大阪府吹田市江坂町1-23-37 グウ江坂ビル 2F,34.758316,135.49736
旬菜山﨑 竹谷店,吹田市,日本料理,熟練の職人が丁寧に作る、季節の移ろいを映したコース料理と選りすぐりの美酒に舌鼓。特別な日に,3.6,51,3221,"￥10,000～￥14,999","￥6,000～￥7,999",大阪府吹田市竹谷町36-17,34.779568,135.521393
おいしい生ビールのお店 黒日果,江坂駅 448m,居酒屋,ビール好き必見！レンガ調のお洒落空間でアサヒ「マルエフ樽生」と特製おつまみを堪能◆,3.32,52,1395,"￥3,000～￥3,999",～￥999,大阪府吹田市垂水町3-24-14 1F,34.7598,135.501068
焼鳥のヒナタ JR吹田駅前店,吹田（ＪＲ）駅 202m,焼き鳥、丼,吹田駅2分◆国産鶏を厳選！本格炭火焼鳥をリーズナブルに♪ランチや昼飲み◎お一人様もお気軽に,3.31,55,1131,"￥2,000～￥2,999",～￥999,大阪府吹田市朝日町5-17,34.762203,135.525574
魚食処 一豊 服部緑地公園店,緑地公園駅 407m,海鮮、ふぐ、かに,旬の魚を様々な方法で調理し、お客様へ◎鮮魚満載のコース・昼夜問わず楽しめる定食がおすすめ＊,3.45,183,6561,"￥2,000～￥2,999","￥1,000～￥1,999",大阪府吹田市春日1-1-1 TATSUMI緑地公園101,34.779018,135.496231
地鶏・和食 個室居酒屋 鶏心 江坂本店,江坂駅 102m,居酒屋、ダイニングバー、海鮮,【個室完備】◆歓送迎会宴会大歓迎◆喫煙可(個室のみに分煙にてOK)紙たばこOK）,3.06,43,1632,"￥3,000～￥3,999",-,大阪府吹田市豊津町9-15 光進ビル 7F,34.758469,135.49678
ぢどり亭 江坂店,江坂駅 111m,鳥料理、焼き鳥、居酒屋,【御堂筋線江坂駅2分】コスパ抜群！リーズナブルでボリューム満点の鶏料理を楽しめる◎貸切OK,3.04,32,703,"￥2,000～￥2,999",-,大阪府吹田市江坂町1-22-10 第一梓ビル　２Ｆ,34.757999,135.49884
DEARBROS.,関大前駅 265m,アメリカ料理、ハンバーグ、ダイニングバー,【阪急関大前駅3分】昼から食べて飲める！本格アメリカ料理を気軽に楽しめるダイニングバー,3.09,37,1854,"￥2,000～￥2,999",～￥999,大阪府吹田市千里山東1-7-28,34.773399,135.506622
フォルクス 江坂店,江坂駅 181m,ファミレス、ステーキ、ハンバーグ,どなたにもお気軽にお楽しみいただけるごちそう☆★ステーキを食べるなら断然【VOLKS】,3.1,83,684,"￥1,000～￥1,999",～￥999,大阪府吹田市江の木町2-1 クロッシング江坂 2F,34.757446,135.49585
江坂海鮮食堂 おーうえすと,江坂駅 210m,居酒屋、海鮮、寿司,江坂駅すぐ！昼飲み大歓迎✨11:30からずっと開いてる海鮮食堂！旬魚旬菜の逸品が豊富！,3.32,117,3582,"￥3,000～￥3,999",～￥999,大阪府吹田市広芝町9-31,34.756996,135.498108
くいもの屋わん 江坂駅前店,江坂駅 46m,居酒屋、日本料理、海鮮,【江坂駅徒歩1分】旬の食材と多彩な創作料理を堪能できる個室居酒屋｜宴会個室40名様迄可,3.03,25,750,"￥3,000～￥3,999",-,大阪府吹田市江坂町1-23-37 西浦江坂ビル 3Ｆ,34.758316,135.49736
板前焼肉一笑 江坂店,江坂駅 58m,焼肉、居酒屋、ホルモン,肉の楽しみ方をデザイン◎コスパ最強焼肉◎黒毛和牛を多様な味わいと最高の空間で☆24時迄営業,3.14,64,1818,"￥5,000～￥5,999",-,大阪府吹田市江坂町1-23-35 1F,34.758148,135.49736
神楽揚処 本 串家 ららぽーとEXPOCITY店,万博記念公園駅 462m,串揚げ、居酒屋、ビュッフェ,【ららぽーとEXPOCITY 1F】揚げる楽しさ、選ぶわがまま！ すべてのメニューが食べ放題！,3.03,39,512,"￥2,000～￥2,999","￥2,000～￥2,999",大阪府吹田市千里万博公園23-17 ららぽーとEXPOCITY 1F,34.807747,135.533157
個室居酒屋 和食郷土料理 玄屋 江坂駅前店,江坂駅 105m,居酒屋、ダイニングバー、鳥料理,【個室完備】【大人数宴会も◎】【当店分煙の為、お席にて紙たばこ・電子たばこ吸えます】,3.06,20,1042,"￥3,000～￥3,999",-,大阪府吹田市豊津町9-15 光進ビル 7F,34.758469,135.49678
しゃぶしゃぶすき焼どん亭 江坂店,江坂駅 120m,しゃぶしゃぶ、すき焼き、日本料理,牛肉を和風に楽しめるお店★シンプルで奥深い「しゃぶしゃぶ」と「すき焼き」の楽しみを当店で。,3.06,65,1027,"￥2,000～￥2,999",～￥999,大阪府吹田市豊津町10-11 池上ビル　２Ｆ,34.758854,135.495956
酒菜とうどん 飩燗,江坂駅 470m,居酒屋、日本料理、うどん,隠れ家的な雰囲気抜群の割烹居酒屋！日本酒４０種、季節の一品料理も多数！ 〆は自家製うどんで！,3.38,119,3510,"￥5,000～￥5,999","￥1,000～￥1,999",大阪府吹田市江の木町15-5 ライブステーション江坂 1F,34.75473,135.494934
江坂鮨バル おーうえすと,江坂駅 84m,寿司、バル、居酒屋,【六角Brand】の原点がここに。隠れ家な店内で繰り広げる拘りの江戸前鮨ダイニング,3.32,103,4286,"￥5,000～￥5,999",-,大阪府吹田市江坂町1-23-17,34.758213,135.498016
あか瀬,江坂駅 55m,居酒屋、鍋、韓国料理,《江坂エリアで注目のコスパ◎》江坂駅すぐ！雰囲気自慢の完全個室■鍋とチキンの食べ放題専門店,3.04,7,515,"￥3,000～￥3,999",-,大阪府吹田市豊津町9-16 第1ロンヂェビル 2F,34.758373,135.496765
天に昇るudon dining 江坂本店,江坂駅 489m,うどん、天ぷら、居酒屋,旨み凝縮のダシと国産小麦自家製うどん！居心地良い空間で一品やお酒も楽しめるうどんダイニング,3.4,79,2196,"￥1,000～￥1,999",～￥999,大阪府吹田市豊津町17-19 グリーンハイム江坂 104,34.757748,135.491638
海鮮居酒屋 赤富士,江坂駅 55m,居酒屋、海鮮、寿司,江坂駅徒歩１分 個室 海鮮とお寿司 喫煙席・禁煙席あり,3.18,54,1609,"￥3,000～￥3,999",-,大阪府吹田市豊津町9-16 第一ロンヂェビル B1F,34.758373,135.496765
鶏居酒屋 るーつ 江坂店,江坂駅 439m,居酒屋、鳥料理、水炊き,江坂駅5分◆二大名物「しちりん焼き」と「博多水炊き」を堪能！飲み会、歓送迎会◎個室完備,3.09,22,902,"￥3,000～￥3,999",～￥999,大阪府吹田市江の木町8-12 足立第2ビル 1F,34.756771,135.492661
わら焼きと海鮮 太郎丸 江坂店,江坂駅 74m,海鮮、居酒屋,江坂駅1分◆名物わら焼きなど高知の料理を満喫！お得なコースが多彩◎屋形船をイメージした空間,3.31,85,2014,"￥4,000～￥4,999",-,大阪府吹田市江坂町1-23-33 第７マイダビル　Ｂ１Ｆ,34.757973,135.497345
咲蘭,岸辺駅 109m,焼肉、韓国料理、ホルモン,【岸辺駅前/全席完全個室】黒毛和牛焼肉に舌鼓…自慢の逸品料理やコース3980円(税別)～,3.09,19,527,"￥5,000～￥5,999",-,大阪府吹田市岸部南1-25-7 33番館ビル 2F,34.776138,135.541626
穴子印 江坂海鮮天婦羅 おーうえすと,江坂駅 111m,天ぷら、海鮮,現代天婦羅と割烹料理の融合が五感に響く,3.52,81,4430,"￥8,000～￥9,999",-,大阪府吹田市江坂町1-22-10 第一梓ビル1-B,34.757999,135.49884
焼肉 千里藤白台 牛の膳,吹田市,焼肉、ホルモン、ステーキ,北九州産の黒毛和牛を中心に上質な焼肉を堪能◎高級感あふれる空間でリーズナブルに焼肉を楽しむ,3.18,38,850,"￥4,000～￥4,999","￥1,000～￥1,999",大阪府吹田市藤白台5-7-68,34.82925,135.504669
RESTAURANT BAR Down-D,江坂駅 92m,ダイニングバー、イタリアン、バー,≪江坂駅8番出口すぐ≫雰囲気抜群の老舗ダイニングbarでパーティ・二次会◆VIPルーム有◆,3.08,23,829,"￥3,000～￥3,999",-,大阪府吹田市豊津町9-22 　Ｂ１Ｆ,34.757832,135.496719
かに道楽 江坂店,江坂駅 158m,かに、海鮮、日本料理,【江坂駅徒歩3分】「味良く、値ごろで、親切に」をモットーに、至高の「かに料理」をご提供,3.08,92,795,"￥8,000～￥9,999","￥3,000～￥3,999",大阪府吹田市江坂町1-22-1,34.758801,135.498917
宮崎地鶏炭火焼 車 江坂店,江坂駅 84m,焼き鳥、居酒屋、鳥料理,"▪️ 新年会受付中 2H飲み放題付コース「5,000円〜」小〜大人数の個室充実の老舗の地鶏料理",3.11,125,3529,"￥4,000～￥4,999",-,大阪府吹田市豊津町9-44 ハートランド江坂 2Ｆ,34.759003,135.49614
魚座 沖のや,江坂駅 256m,日本料理、ふぐ、創作料理,名物『鯛めし』や日替わり朝獲れ鮮魚・野菜を会席で堪能！個室も完備。冬の味覚”ふぐ”を満喫,3.38,128,6192,"￥5,000～￥5,999","￥1,000～￥1,999",大阪府吹田市江の木町3-11 第3ロンヂェビル 2F,34.757053,135.494568
カノビアーノ アネックス,江坂駅 688m,イタリアン、パスタ、ダイニングバー,オリーブオイルを使った和食のような、イタリア料理の神髄を五感で味わう,3.63,165,8549,"￥8,000～￥9,999","￥4,000～￥4,999",大阪府吹田市芳野町13-10 アメニティ江坂内　MiaViaアトリエ棟1F,34.755905,135.490189
花菱,江坂駅 84m,居酒屋、鉄板焼き、馬肉料理,江坂 駅スグ！特選食材を鉄板料理で味わえる居酒屋。多種多様な 完全個室 は密をさけるのに最適。,3.08,24,1946,"￥4,000～￥4,999",～￥999,大阪府吹田市豊津町9-44 ハートランド江坂ビル ２F,34.759003,135.49614
やきとりの扇屋 江坂店,江坂駅 215m,焼き鳥、居酒屋,美味しいやきとりと居酒屋料理が自慢！新鮮で上質な食材で料理したメニューはどれも絶品です！,3.01,14,260,"￥2,000～￥2,999",-,大阪府吹田市江坂町1-17-21,34.760189,135.498322
あたぼうや 江坂店,江坂駅 100m,居酒屋、焼き鳥、海鮮,江坂駅0分★個室居酒屋 2名～170名様まで個室完備！,3.16,67,877,"￥3,000～￥3,999","￥3,000～￥3,999",大阪府吹田市豊津町9-15 光進ビル 8F-B,34.758469,135.49678
えさか堂 江坂本店,江坂駅 100m,居酒屋、焼き鳥、寿司,個室完備☆『寿司』『肉寿司』『炭火焼鳥』『肉汁餃子』『和食料理』全200種食べ飲み放題！！,3.09,36,771,"￥3,000～￥3,999","￥3,000～￥3,999",大阪府吹田市豊津町9-15 光進ビル 8F-B,34.758469,135.49678
和牛焼肉 だいこく家 吹田岸辺店,岸辺駅 810m,焼肉、居酒屋、ホルモン,ランチから新鮮なレバー、生センマイ有り【奥に半個室】4名様〜36名様団体宴会席有り◆,3.22,42,1032,"￥4,000～￥4,999","￥1,000～￥1,999",大阪府吹田市岸部北3-6-32,34.782509,135.535797
カプリチョーザ ららぽーとEXPOCITY店,万博記念公園駅 478m,イタリアン、パスタ、ピザ,各種イタリア料理が楽しめる、陽気で明るい南イタリアのトラットリアタイプのレストラン,3.07,41,245,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府吹田市千里万博公園2-1 ららぽーとEXPOCITY 1F,34.805485,135.53392
旬魚旬菜 びんびや 江坂店,江坂駅 90m,海鮮、居酒屋、鍋,自慢の海鮮たっぷり！個室宴会★飲み放題付き宴会コースやお得な単品飲み放題も！,3.14,45,1513,"￥3,000～￥3,999",-,大阪府吹田市江坂町1-23-19,34.758041,135.498016
BARBARA EXPO RESTAURANT,万博記念公園駅 448m,カフェ、イタリアン、洋食,【EAT LOCAL AWAJI】淡路島の食材を使ったフェアー開催中！！,3.47,287,8761,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府吹田市千里万博公園2-1 ららぽーとEXPOCITY 2F,34.805485,135.53392
焼肉あさだ,江坂駅 506m,焼肉、ホルモン、居酒屋,【厳選和牛と八代目儀兵衛の特選米】 お得なセットや飲み放題付き宴会メニュー有り！ 喫煙可◎,3.15,43,2211,"￥5,000～￥5,999","￥1,000～￥1,999",大阪府吹田市豊津町17-24 1F,34.75816,135.491562
地鶏専門 おちば屋 江坂本店,江坂駅 71m,焼き鳥、鳥料理、居酒屋,江坂駅すぐ◆こだわりの河内鴨や丹波地どりに舌鼓！飲み会やご宴会にはいいとこ全部のコースが◎,3.44,246,10955,"￥5,000～￥5,999",-,大阪府吹田市江坂町1-23-33 第７マイダビル　２Ｆ,34.757973,135.497345
目利きの銀次 江坂駅前店,江坂駅 76m,居酒屋、海鮮、創作料理,磯の香りと活気あふれる楽しい空間◆新鮮な海の幸と充実のドリンクをリーズナブルに満喫♪,3.03,30,509,"￥2,000～￥2,999",-,大阪府吹田市豊津町9-2 香川平安ステーションビル 2F,34.75872,135.496445
磯一 江坂店,江坂駅 278m,居酒屋、海鮮、鍋,紀州・串本他全国各地から直送の朝獲れ鮮魚を堪能！掘り炬燵席の大小個室完備◎ご宴会は磯一で◎,3.4,150,5614,"￥3,000～￥3,999",-,大阪府吹田市豊津町15-17 ライオンズマンション第６江坂　１Ｆ,34.757816,135.494064
ナマステ 吹田店,吹田（ＪＲ）駅 330m,インドカレー、インド料理、ネパール料理,【吹田駅5分】種類豊富なカレーやインドのドリンクなど満喫◎貸切パーティーも可能,3.14,36,383,"￥1,000～￥1,999",～￥999,大阪府吹田市片山町3-18-1,34.766045,135.522491
優行扉,吹田市,バー,,3.04,3,74,"￥2,000～￥2,999",-,大阪府吹田市五月が丘北3-15 グリーンプラザ 2F,34.789982,135.524261
和牛焼肉 平城苑 EXPOCITY店,万博記念公園駅 429m,焼肉、ホルモン、居酒屋,,3.08,93,960,"￥3,000～￥3,999","￥1,000～￥1,999",大阪府吹田市千里万博公園2-1 ららぽーとEXPOCITY,34.805485,135.53392
ゆきち,千里丘駅 448m,居酒屋,,3.05,5,81,"￥3,000～￥3,999",-,大阪府吹田市長野東17-20,34.792221,135.546417
江坂イタリアン ラッポルティ,江坂駅 228m,イタリアン、パスタ、ピザ,【江の木公園向かい】開放的な空間と素材にも味にもこだわったシェフ自慢のイタリアンは絶品♪,3.44,255,12569,"￥3,000～￥3,999","￥1,000～￥1,999",大阪府吹田市江ノ木町2-32,34.757122,135.495224
Estate,吹田（ＪＲ）駅 257m,イタリアン、ワインバー、バー,【吹田駅3分】小皿で提供する美味しいイタリアン×ソムリエ厳選のワインを心地よい空間で◎,3.05,11,386,"￥4,000～￥4,999",-,大阪府吹田市昭和町10-3 竹国吹田駅前ビル 1F,34.763142,135.526489
串焼き串カツ まさやん,千里丘駅 464m,串焼き、串揚げ、居酒屋,,3.07,7,237,"￥3,000～￥3,999",-,大阪府吹田市長野東18-4,34.792263,135.54657
あらい,江坂駅 431m,日本料理、居酒屋、その他,江坂駅5分◆アットホームな空間で旬の鮮魚や日替わりのおばんざいを楽しむ◎座敷個室は宴会にも,3.21,51,1027,"￥3,000～￥3,999",～￥999,大阪府吹田市垂水町3-24-14,34.7598,135.501068
おやさい山 丹ノ菜 TERAO,万博記念公園駅 463m,野菜料理、日本料理,,3.26,51,871,"￥2,000～￥2,999","￥1,000～￥1,999",大阪府吹田市千里万博公園2-1 ららぽーとEXPOCITY 1F,34.805485,135.53392
居酒屋 一歩,吹田市,居酒屋,【貸切可能】定番から日替わりまで多彩なメニューと店主が厳選した日本酒を堪能◎,3.04,4,58,"￥3,000～￥3,999","￥2,000～￥2,999",大阪府吹田市五月が丘南32-1 ハイタウン樽澤 108,34.781796,135.524017
串カツ もんじゃ ひまわり 江坂店,江坂駅 76m,居酒屋、串揚げ、もんじゃ焼き,江坂駅直結！大阪名物串カツと東京名物もんじゃが食べられるお店！喫煙専用室有り！,3.14,58,1163,"￥2,000～￥2,999",～￥999,大阪府吹田市豊津町9-15 3F,34.758469,135.49678
酒と肴 麦々,桃山台駅 362m,居酒屋,,3.02,1,69,-,-,大阪府吹田市竹見台3-6-1 アベニュースクウェア 1F,34.794193,135.50119
大衆道楽割烹 三代目 あかつ,江坂駅 58m,居酒屋、海鮮、おでん,【江坂駅前】和食料理人自慢の海鮮×逸品居酒屋/コスパ重視/ランチ900円/飲み放題900円,3.26,38,1338,"￥3,000～￥3,999",～￥999,大阪府吹田市江坂町1-23-35 コーポ江坂ビル 2F,34.758148,135.49736
ニュータージマハルエベレスト 関大前店,関大前駅 320m,インド料理、ビュッフェ、インドカレー,関大前駅3分◆インド直送のスパイスで仕上げる本格カレー◎学生ランチは破格の780円！！,3.05,18,277,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府吹田市千里山東1-17-48,34.773808,135.505966
ボッチデビッラ,江坂駅 347m,イタリアン、パスタ、居酒屋,昼は街のパスタ屋さん、夜はおうちのイタリアン♪会社帰りのサク飲みも歓迎のアットホームな空間,3.39,146,6389,"￥5,000～￥5,999","￥1,000～￥1,999",大阪府吹田市豊津町12-26 サクセス江坂 1F,34.759033,135.493225
一食一笑 小鉄,吹田（ＪＲ）駅 446m,居酒屋、海鮮,真心込めた手作り料理が楽しめる、アットホームな雰囲気の居酒屋◆昼飲み歓迎！各種宴会にも◎,3.04,5,105,"￥4,000～￥4,999",～￥999,大阪府吹田市昭和町14-23,34.762486,135.528427
焼肉処 葡萄匠屋 吹田店,吹田市,焼肉、ホルモン、ファミレス,ファミリー大歓迎！落ち着いた空間、半個室や座敷。雌牛長期肥育の焼肉屋,3.19,35,922,"￥4,000～￥4,999","￥2,000～￥2,999",大阪府吹田市岸部北5-31-6,34.785938,135.533859
おでん居酒屋 まんぷく,江坂駅 314m,居酒屋、日本料理、おでん,【江坂徒歩5分】おばんざい料理に居酒屋料理、旬野菜料理など豊富に取り揃えています。,3.07,11,517,"￥3,000～￥3,999",-,大阪府吹田市江坂町1-21-39,34.758106,135.500351
北海道 知床漁場 吹田店,吹田（ＪＲ）駅 478m,海鮮、居酒屋、鍋,【JR吹田駅より徒歩7分】産地直送！鮮魚と相性抜群のお酒もご用意◎各種宴会コースも,3.2,59,923,"￥3,000～￥3,999","￥1,000～￥1,999",大阪府吹田市片山町2-3-15 吹田グリーンプレイス,34.764339,135.51944
磯一 山田店,万博記念公園駅 858m,居酒屋、海鮮、鍋,紀州をはじめとした日本全国の、産直の朝どれピチピチ天然魚や新鮮な食材が自慢！ご宴会にも◎,3.25,59,2719,"￥3,000～￥3,999",-,大阪府吹田市山田東4-1-9,34.800537,135.52449
パリワール 関大前店,関大前駅 329m,インド料理、インドカレー、ビュッフェ,,3.07,31,452,"￥1,000～￥1,999",～￥999,大阪府吹田市千里山東1-14-5 パティオ千里山　１Ｆ,34.773586,135.50769
鉄板グリル をかし,吹田（ＪＲ）駅 181m,居酒屋、中華料理、鳥料理,,3.07,12,791,"￥3,000～￥3,999",-,大阪府吹田市元町4-10,34.761627,135.523849
LIBRE,江坂駅 520m,カレー,【江坂駅5分】熟成キーマカレー専門店◆コクと旨味がクセになる新しい味！お仕事終わりにも◎,3.06,7,204,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府吹田市芳野町1-23 MODERN BUREAU 101,34.757511,135.49147
J.S. BURGERS CAFE ららぽーとEXPOCITY店,万博記念公園駅 514m,ハンバーガー、カフェ、ダイニングバー,,3.4,217,2986,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府吹田市千里万博公園2-1 ららぽーとEXPOCITY 1F,34.805485,135.53392
