店の名前,駅からの距離,店のカテゴリ(キーワード),紹介文,評価,コメント数,ブックマーク数,夜の予算,昼の予算,住所
ノースショア 伊丹空港店,大阪空港駅 107m,カフェ、パンケーキ,野菜と果物をふんだんに使ったメニューが楽しめる、フォトジェニックなリラックスCafe♪,3.16,210,3550,-,"￥1,000～￥1,999",大阪府豊中市蛍池西町3-555 伊丹空港 4F・5F
美々卯 伊丹空港店,大阪空港駅 92m,うどん、うどんすき、そば,日本料理の伝統と旬菜の持ち味を活かした、うどん専門店。,3.4,411,2295,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府豊中市螢池西町3-555 大阪国際空港(伊丹空港) 2F
とり慶,庄内駅 179m,焼き鳥、居酒屋、海鮮,,3.07,8,103,"￥3,000～￥3,999",-,大阪府豊中市庄内西町3-3-1
enaveil,豊中駅 628m,フレンチ、カフェ、スイーツ,,3.06,9,300,"￥6,000～￥7,999","￥3,000～￥3,999",大阪府豊中市立花町2-7-25-1
中華上原,服部天神駅 254m,中華料理,,3.41,74,3399,-,～￥999,大阪府豊中市服部西町2-2-21
中津しょうゆからあげ専門店 鶏笑 豊中庄内店,庄内駅 127m,からあげ、弁当,,3,4,26,-,-,大阪府豊中市庄内西町3-1-5
ファミリーマート 千里中央北店,千里中央駅 436m,コンビニ・スーパー,,3.03,6,15,-,-,大阪府豊中市新千里東町1-3-240
祇園辻利 大阪国際空港 旅・SORA店,大阪空港駅 200m,ティースタンド、ソフトクリーム,,3.08,29,145,-,-,大阪府豊中市蛍池西町3-555 大阪国際空港 北ターミナル2F 旅・SORA
釜ー釜ー,曽根駅 506m,弁当,,3.04,4,54,～￥999,～￥999,大阪府豊中市曽根東町6-4-25
バスマティキッチン,豊中駅 465m,アジア・エスニック,,,8,,-,-,大阪府豊中市本町3-8-4
眞瀬精肉店,豊中市,その他,,3.02,14,270,-,"￥3,000～￥3,999",大阪府豊中市熊野町4-11-9
エッチスリースタジオアンドカフェ,庄内駅 52m,カフェ、ジューススタンド,,3.01,1,198,-,～￥999,大阪府豊中市庄内西町2-22-8 しま善ビル 3F
フレンドマート 豊中熊野店,豊中市,コンビニ・スーパー,,3.02,4,14,-,-,大阪府豊中市熊野町4-15-17
ヴィフーン,桜井駅 977m,アジア・エスニック、ベトナム料理,,3.3,26,574,"￥2,000～￥2,999",～￥999,大阪府豊中市春日町5-3-1
居酒屋つゆ子,庄内駅 370m,焼き鳥,,,6,,-,-,大阪府豊中市庄内幸町3-17-8
ささべ,少路（大阪モノレール）駅 972m,洋食、喫茶店,,3.01,1,15,-,-,大阪府豊中市東豊中町4-3-8
とさ,蛍池駅 379m,焼き鳥,,,43,,-,-,大阪府豊中市螢池東町3-4-1
とんかつ かつ喜 豊中南店,豊中市,とんかつ,,3.06,38,298,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府豊中市島江町1-3-29
カフェ ローズ,岡町駅 533m,カフェ、喫茶店,,3.01,4,66,"￥1,000～￥1,999",～￥999,大阪府豊中市中桜塚3-5-30 プレール桜塚 1F
喫茶ジュピック,庄内駅 737m,喫茶店,,,1,8,-,-,大阪府豊中市豊南町西3-13-10
JAL PLAZA 大阪空港,大阪空港駅 182m,その他,,3.05,16,75,-,-,大阪府豊中市蛍池西町3-555 大阪国際空港 北ターミナルビル 2F 搭乗待合エリア
MORGEN cafe and gallery +,柴原阪大前駅 602m,カフェ、ドイツ料理,,3.14,12,749,-,"￥1,000～￥1,999",大阪府豊中市柴原町3-11-23
神戸屋ブレッドラブ 豊中店,三国駅 517m,洋食、パン、カフェ,,3.35,124,2613,"￥2,000～￥2,999","￥1,000～￥1,999",大阪府豊中市神州町1-50
笑乃みやけ,庄内駅 147m,日本料理、うどん,,3.07,7,217,"￥6,000～￥7,999",-,大阪府豊中市庄内西町2-15-5
alcove GALA,豊中駅 159m,カフェ、バー,,,1,26,"￥2,000～￥2,999","￥1,000～￥1,999",大阪府豊中市本町1-9-19 2F
ナナカマドール,蛍池駅 158m,カフェ,,3.12,13,478,-,-,大阪府豊中市蛍池中町2-7-16
OTOGI de BonBon,岡町駅 101m,洋菓子、スイーツ,,3.14,15,668,-,～￥999,大阪府豊中市岡町北3-1-5 岡町駅前レジデンス 1F
パン工場 マックスバリュ豊中緑丘店,少路（大阪モノレール）駅 993m,パン,,,5,,-,-,大阪府豊中市緑丘4-1 マックスバリュ豊中緑丘店
ツレンノカ,曽根駅 138m,居酒屋,,,1,18,-,-,大阪府豊中市曽根西町3-5-34
タコゾウ,千里中央駅 239m,たこ焼き,,3.09,31,413,～￥999,～￥999,大阪府豊中市新千里東町1-3 せんちゅうパル 1F
中華菜房 古谷,岡町駅 98m,中華料理、汁なし担々麺,,3.51,71,5341,"￥8,000～￥9,999","￥3,000～￥3,999",大阪府豊中市岡町南1-1-22 矢部ビル岡町コーポ 1Ｆ
たかみ,蛍池駅 482m,焼肉、ホルモン,,3.38,74,2360,"￥5,000～￥5,999",-,大阪府豊中市蛍池北町3-2-8 美登ビル 2F
和酒 ひなた,緑地公園駅 107m,日本酒バー、食堂,,3.02,3,66,"￥3,000～￥3,999",-,大阪府豊中市東寺内町13-23 ラ・メゾン 1F
果むろ,豊中市,和菓子,,3.11,12,503,-,-,大阪府豊中市熊野町4-21-34
551蓬莱 大阪空港到着ロビー店,大阪空港駅 104m,肉まん,,3.38,387,2408,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府豊中市螢池西町3-555 大阪国際空港中央ブロック 2F
セブンイレブン 豊中服部寿町3丁目店,服部天神駅 785m,コンビニ・スーパー,,,3,,-,-,大阪府豊中市服部寿町3-287-1
松屋,豊中市,そば、うどん,,,1,11,-,-,大阪府豊中市庄内宝町1-1-11
焼肉 たか,岡町駅 278m,焼肉、ホルモン、居酒屋,,3.09,15,505,"￥4,000～￥4,999",～￥999,大阪府豊中市中桜塚2-18-12 藤本ビル 1F
六道,庄内駅 851m,ホルモン,,,8,,-,-,大阪府豊中市豊南町東1-1-3
炭火焼 祝,服部天神駅 390m,牛タン、焼肉,,,2,27,-,-,大阪府豊中市服部南町3-4-1
ジャンカラ 庄内駅前店,庄内駅 208m,カラオケ、その他,,3,2,8,-,-,大阪府豊中市庄内西町2-1-3 今井ビル
カリトロ 庄内店,庄内駅 96m,たこ焼き,,3.06,13,188,-,～￥999,大阪府豊中市庄内東町1-7-22
関西旅日記,大阪空港駅 119m,その他,,3.07,62,158,-,-,大阪府豊中市蛍池西町5-333 大阪国際空港ターミナルビル 2F
富貴屋,服部天神駅 321m,和菓子,,3.07,7,128,-,～￥999,大阪府豊中市服部西町2-5-23
日本料理 四幸,豊中駅 214m,日本料理,,3.13,10,479,"￥5,000～￥5,999","￥1,000～￥1,999",大阪府豊中市本町3-14-7 ギャラクシ豊中本町 B1F
天天,千里中央駅 514m,中華料理、飲茶・点心、ビュッフェ,,3.18,63,702,"￥1,000～￥1,999",-,大阪府豊中市新千里東町1-2-20 LABI千里 4F
麺や 轍,庄内駅 164m,ラーメン,,3.16,35,538,～￥999,～￥999,大阪府豊中市庄内東町2-2-10
福十屋,服部天神駅 33m,弁当,,,2,,-,-,大阪府豊中市服部西町1-1-26
サイゼリヤ LABI千里店,千里中央駅 541m,イタリアン、ファミレス、パスタ,,3.06,34,203,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府豊中市新千里東町1-2-6
炭火焼鳥 鳥ふく,庄内駅 346m,焼き鳥、鳥料理,,3.17,29,746,"￥3,000～￥3,999",-,大阪府豊中市庄内西町2-17-18
たかさこ,豊中駅 248m,ダイニングバー、居酒屋,,3.02,1,17,-,-,大阪府豊中市本町1-3-19 長尾第一ビル 1F
若水,豊中市,寿司,,3.03,4,155,"￥2,000～￥2,999",～￥999,大阪府豊中市夕日丘1-9-20
Nick&Renée 豊中本店,豊中市,ハンバーガー,,3.66,540,24316,"￥2,000～￥2,999","￥2,000～￥2,999",大阪府豊中市東豊中町6-1-11 たかみビル 1F
YAKISOPAN串カツ部,曽根駅 394m,居酒屋,,3.04,10,324,-,-,大阪府豊中市南桜塚1-22-7
エゴカフェ,曽根駅 483m,カフェ,,3.14,12,296,～￥999,～￥999,大阪府豊中市曽根東町2-12-5
津の田ミート -bistro style- 豊中店,豊中駅 75m,肉料理,,,3,,-,-,大阪府豊中市玉井町1-9-4
we♡donut 千里中央,千里中央駅 178m,ドーナツ,,3.43,80,1680,～￥999,～￥999,大阪府豊中市新千里東町1-3-207 2F 南広場前せんちゅうパル
家系ラーメン 薩摩家,大阪空港駅 503m,ラーメン,,3.55,244,6156,～￥999,～￥999,大阪府豊中市蛍池北3-3-11
ブラックプール ハンバーガー カフェ,服部天神駅 365m,ハンバーガー、カフェ、パン,,3.25,23,545,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府豊中市服部豊町2-1-7
ヒカリ珈琲,庄内駅 876m,カフェ,,,1,26,-,-,大阪府豊中市三和町1-3-15
からあげ 金と銀 豊中駅前店,豊中駅 229m,からあげ、弁当,,3,3,30,～￥999,～￥999,大阪府豊中市本町1-9-28
カラオケcafe トコ夏,豊中市,カフェ,,,,,"￥3,000～￥3,999",-,大阪府豊中市東豊中町6-20-18
御料理あきやま,岡町駅 409m,日本料理、海鮮、鍋,,3.33,48,2587,"￥6,000～￥7,999","￥1,000～￥1,999",大阪府豊中市岡上の町1-4-7
Bar PROHIBITION,蛍池駅 134m,バー,,3.02,1,1,-,-,大阪府豊中市蛍池東町1-2-9 ビジネスホテルつじ井 2F
パティスリー ラ フェット 曽根店,曽根駅 157m,ケーキ、洋菓子,,3.18,28,386,-,-,大阪府豊中市曽根東町1-10-3 曽根イーストテラス B1F
淡麺,大阪空港駅 202m,パスタ,,3.28,54,374,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府豊中市蛍池西町3-555 大阪国際空港 南ターミナル 2F
ここや,庄内駅 221m,食堂,,3.42,102,5330,-,～￥999,大阪府豊中市庄内西町3-5-10
島津寿司,少路（大阪モノレール）駅 548m,寿司,,,6,,-,-,大阪府豊中市上野東3-18-21
あ 豊中店,曽根駅 876m,ラーメン,,3.45,248,2499,"￥1,000～￥1,999",～￥999,大阪府豊中市原田南1-13-11
愛,庄内駅 642m,レストラン,,,4,,-,-,大阪府豊中市庄内幸町2-12-21
ありそ鮨し 伊丹空港店,大阪空港駅 228m,寿司,,3.47,183,2413,-,"￥3,000～￥3,999",大阪府豊中市螢池西町3-555 大阪国際空港北ターミナル 2F
エイト,服部天神駅 756m,喫茶店,,,3,,-,-,大阪府豊中市浜2-13
シーシャカフェバーアイビス 庄内店,庄内駅 194m,バー、カフェ,,,6,,"￥3,000～￥3,999","￥2,000～￥2,999",大阪府豊中市庄内西町3-7-40 三丁目広場 2F
バー コイノボリ,蛍池駅 113m,バー,,3.01,1,104,-,-,大阪府豊中市蛍池中町2-3-1 ルシオーレ南館　１Ｆ
ニューリトルインディア 岡町駅前店,岡町駅 23m,カレー、インドカレー,,3.09,9,61,-,～￥999,大阪府豊中市中桜塚1丁目2-33
ほっと,庄内駅 952m,喫茶店,,,4,,-,-,大阪府豊中市豊南町東3-12-1
グーナカリー,豊中駅 465m,カレー,,,3,,-,-,大阪府豊中市本町3-8-4
スターバックスコーヒー 豊中緑地公園店,緑地公園駅 54m,カフェ,,3.08,71,406,～￥999,～￥999,大阪府豊中市東寺内町12-38
メルク,岡町駅 863m,パン、サンドイッチ、洋菓子,,3.32,69,1630,-,-,大阪府豊中市中桜塚5-16-3
デリカKYK 千里阪急店,千里中央駅 288m,とんかつ、弁当,,3.01,7,46,-,～￥999,大阪府豊中市新千里東町1-5-1 千里阪急 B1F
来来亭 豊中夕日丘店,豊中市,ラーメン、冷麺、中華料理,,3.07,97,516,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府豊中市夕日丘2丁目15番7号
たこ昭,庄内駅 788m,たこ焼き,,3.02,1,14,-,-,大阪府豊中市豊南町南3-2-5
すき家 阪急庄内南店,庄内駅 445m,牛丼、カレー、食堂,,3.01,13,54,-,-,大阪府豊中市庄内西町5-1-3
二代目平成麺業,豊中駅 352m,うどん、カレーうどん,,3.43,94,1930,-,～￥999,大阪府豊中市本町3-13-16
鳥周 庄内店,三国駅 833m,焼き鳥、鳥料理、手羽先,,3.03,31,1643,-,-,大阪府豊中市豊南町南3-8-9
作州武蔵魍魎亭,服部天神駅 889m,日本料理,,3.04,5,147,-,-,大阪府豊中市利倉東2-1-12
カフェ レスト 家電住まいる館YAMADA豊中店,庄内駅 237m,カフェ,,3,2,12,-,～￥999,大阪府豊中市庄内東町2-7-10
SHOT BAR BINKS,岡町駅 908m,バー、イタリアン、パスタ,,,7,,"￥3,000～￥3,999",-,大阪府豊中市南桜塚4-1-34 2F
良青,豊中市,そば、うどん、うどんすき,,3.37,85,1886,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府豊中市東豊中町4丁目11-4
ファミリーマート 庄内駅前店,庄内駅 72m,コンビニ・スーパー,,3,2,4,-,-,大阪府豊中市庄内西町2-22-8
プティマルシェドゥーブルヴィ,緑地公園駅 259m,洋菓子、スイーツ,,3.01,1,129,-,-,大阪府豊中市寺内2-3-9 グリーンエクセル
ファミリーマート 豊中千成店,神崎川駅 429m,コンビニ・スーパー,,3,2,7,-,-,大阪府豊中市千成町2-8-16
ナマステ タージマハル,桃山台駅 893m,インド料理、インドカレー,,3.08,13,71,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府豊中市東泉丘2-6-19
ラヴィアミュゾン,服部天神駅 304m,ビストロ、フレンチ、パスタ,,3.16,25,1260,"￥5,000～￥5,999","￥1,000～￥1,999",大阪府豊中市服部西町2-4-8
吉野家 名神豊中庄内店,豊中市,牛丼、カレー、食堂,,3.03,20,64,～￥999,-,大阪府豊中市庄内栄町4-21-36
魚べい イオンタウン豊中庄内店,庄内駅 628m,回転寿司,,3.06,35,297,"￥2,000～￥2,999","￥2,000～￥2,999",大阪府豊中市庄内西町5-1-22 イオンタウン豊中庄内 2F
Dining IKINA,豊中市,イタリアン、創作料理,,3.08,28,1306,"￥6,000～￥7,999","￥2,000～￥2,999",大阪府豊中市西緑丘3-13-1 シンミ西緑丘ビル B1F
ソラデリ,大阪空港駅 190m,その他,,3.05,26,63,-,-,大阪府豊中市蛍池西町3-555 大阪国際空港 北ターミナルビル 2F 搭乗待合エリア
黒船 千里阪急店,千里中央駅 270m,和菓子,,3.01,11,78,-,-,大阪府豊中市新千里東町1-5-1 千里阪急 B1F
洋麺屋 ピエトロ 千里中央店,千里中央駅 333m,イタリアン、パスタ、ピザ,,3.08,80,1009,"￥1,000～￥1,999",-,大阪府豊中市新千里東町1-3 せんちゅうパル 2F
ワイサンパチタチノミ,豊中駅 178m,立ち飲み,,3.02,1,10,-,-,大阪府豊中市本町1-12-13
ANA スイートラウンジ 伊丹空港 国内線,大阪空港駅 184m,その他,,3.15,52,178,-,-,大阪府豊中市蛍池西町3-555 大阪国際空港（伊丹空港） 南ターミナル 4F
丸十寿司,庄内駅 37m,寿司,,3.17,25,368,-,～￥999,大阪府豊中市庄内西町2-22-38
ラ・フルネ,桃山台駅 865m,パン、ケーキ,,3.37,41,3175,-,-,大阪府豊中市東豊中町5-39-8
ひまわり,柴原阪大前駅 649m,食堂、お好み焼き、たこ焼き,,,1,3,-,-,大阪府豊中市桜の町5-3-56
まん福ベーカリー 豊中店,少路（大阪モノレール）駅 356m,パン,,3.44,69,1708,-,-,大阪府豊中市少路2-10-5
おうちごはんむすびtete,岡町駅 354m,食堂,,3.02,2,152,-,-,大阪府豊中市桜塚1-11-10
すき家 豊中曽根店,曽根駅 868m,牛丼、カレー、食堂,,3.03,13,50,-,-,大阪府豊中市曽根南町3-19-24
ファミリーマート せんちゅうパル店,千里中央駅 252m,コンビニ・スーパー,,3,1,1,-,-,大阪府豊中市新千里東町1-3 せんちゅうパル 1F
ダンクブロート 豊中少路店,少路（大阪モノレール）駅 158m,パン,,3.07,11,230,-,～￥999,大阪府豊中市少路1-11-20
錦ちやん,服部天神駅 550m,ちゃんこ鍋,,,7,,-,-,大阪府豊中市服部南町3-9-5
ひゃくばん 千里の台所,千里中央駅 187m,居酒屋、海鮮、創作料理,,3.24,80,1090,"￥2,000～￥2,999",～￥999,大阪府豊中市新千里東町1-3 せんちゅうPAL 1番街 203
喫茶 MON,服部天神駅 997m,喫茶店,,3.02,1,12,～￥999,～￥999,大阪府豊中市小曽根1-4-10 ファミールハイツ 1F
ポムータ,服部天神駅 854m,喫茶店、カフェ,,,1,18,-,-,大阪府豊中市城山町1-10-18
あぐーしゃぶしゃぶ ビーチ,神崎川駅 402m,鍋、しゃぶしゃぶ,,3.02,1,10,-,-,大阪府豊中市大島町3-1-5 徳田ビル 101
セブンイレブン 豊中東泉丘店,桃山台駅 950m,コンビニ・スーパー,,3.03,6,17,-,-,大阪府豊中市東泉丘4-6-20
らんどりぃかふぇlacic,服部天神駅 157m,カフェ、喫茶店,,3,1,74,"￥1,000～￥1,999",～￥999,大阪府豊中市服部本町1-2-2
じゃっかす,蛍池駅 178m,クレープ・ガレット、バー、鉄板焼き,,,29,,-,-,大阪府豊中市蛍池東町2-6-6 蛍池サンビル 1Ｆ
& aere Coffee Roasters,少路（大阪モノレール）駅 526m,カフェ、サンドイッチ,,3.5,112,5082,-,"￥2,000～￥2,999",大阪府豊中市上野東3-18-28
珈琲専門店 果琳 庄内店,庄内駅 136m,カフェ、ケーキ,,3.08,8,100,～￥999,～￥999,大阪府豊中市庄内西町3-1-5 サンパティオビル 4F
ピニョン,豊中市,ケーキ,,3.14,20,218,-,-,大阪府豊中市熊野町1-7-7
BUN,豊中駅 861m,洋菓子,,3.05,8,215,-,-,大阪府豊中市本町6-8-5
デイリーカナート イズミヤ 上新田店,千里中央駅 847m,コンビニ・スーパー,,,3,7,-,-,大阪府豊中市上新田4-1-18
ちゃたそplus,曽根駅 62m,弁当、惣菜・デリ,,3,4,29,-,-,大阪府豊中市曽根西町3-1-22
LAWSON 東豊中町五丁目店,桃山台駅 836m,コンビニ・スーパー,,,2,2,-,-,大阪府豊中市東豊中町5-31-8
LAWSON 豊中蛍池町三丁目店,蛍池駅 83m,コンビニ・スーパー,,3,5,20,-,-,大阪府豊中市蛍池中町3-4-12
バーガーキング 庄内駅前店,庄内駅 86m,ハンバーガー,,3.01,5,26,-,-,大阪府豊中市庄内東町2-1-1
和風中華 東林,石橋阪大前駅 584m,中華料理,,3.04,5,106,-,-,大阪府豊中市清風荘2-6-12
bar+music home,桃山台駅 503m,バー,,,1,20,"￥1,000～￥1,999",-,大阪府豊中市上新田3-2-5 第2千里ハイツ 2F
小麦の森 蛍池店,蛍池駅 39m,パン,,3.01,7,35,-,-,大阪府豊中市蛍池中町3-2-1 コープ蛍池
萩月 千里阪急店,千里中央駅 265m,和菓子,,,7,,-,-,大阪府豊中市新千里東町1-5-1 千里阪急 B1F
風月庵南坊 千里阪急店,千里中央駅 268m,和菓子,,3.06,7,42,-,-,大阪府豊中市新千里東1-5-1 千里阪急 B1F
コンチェルト,服部天神駅 175m,喫茶店,,,6,,-,-,大阪府豊中市服部元町1-13-6
フードショップ青葉 東豊中店,豊中市,その他,,,1,7,-,"￥1,000～￥1,999",大阪府豊中市熊野町4-21-43
スタンドグルー,服部天神駅 285m,居酒屋,,3,1,72,"￥2,000～￥2,999",-,大阪府豊中市服部西町2-8-7
古絵本とコーヒーのお店 ちぇすなっと,岡町駅 315m,カフェ,,3.06,5,339,-,～￥999,大阪府豊中市岡町南1-6-13 ダイヤコート豊中 1F
和久,服部天神駅 701m,そば、うどん,,3.14,19,282,-,"￥1,000～￥1,999",大阪府豊中市服部寿町3-1-25
喜楽,豊中市,和菓子、甘味処,,3.19,25,462,-,～￥999,大阪府豊中市西緑丘3-13-12
らーめん 熊五郎 せんちゅうパル店,千里中央駅 181m,ラーメン、餃子、飲茶・点心,,3.29,132,1362,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府豊中市新千里東町1-3 せんちゅうパル B1F
米田水産 フードネットマート桜塚店,岡町駅 199m,その他,,,3,,-,-,大阪府豊中市中桜塚2-27-8
魚政,曽根駅 492m,日本料理、寿司,,3.07,11,295,-,"￥1,000～￥1,999",大阪府豊中市南桜塚1-21-18
澄屋,緑地公園駅 140m,食堂,,3.02,2,51,"￥3,000～￥3,999","￥1,000～￥1,999",大阪府豊中市寺内2-2-22 シャトーエデン 1F
飛車角行,蛍池駅 298m,日本料理、海鮮、居酒屋,【きっとまた来たくなる☆リピーター率90％のお店！】鮮度抜群の魚料理が自慢★,3.36,52,2939,"￥5,000～￥5,999",-,大阪府豊中市螢池東町3-5-2
うを喜,豊中駅 604m,寿司,,3.1,20,491,-,-,大阪府豊中市本町9-1-10
豊市商店,庄内駅 75m,韓国料理,,3.02,4,75,-,-,大阪府豊中市庄内東町1-7-19 豊南市場
みどり寿司,緑地公園駅 346m,寿司,,,4,100,"￥4,000～￥4,999",-,大阪府豊中市寺内1-11-23 ハイネス緑地公園 1F
ほっかほっか亭 熊野町,豊中市,弁当,,3,3,17,-,-,大阪府豊中市熊野町2-10-23
ごはん処 おかえり,庄内駅 341m,食堂、弁当,,,3,463,-,-,大阪府豊中市庄内西町3-10-26
旨めし鉄板 大知,庄内駅 198m,お好み焼き,,3.05,6,70,"￥2,000～￥2,999","￥1,000～￥1,999",大阪府豊中市庄内西町2-24-8
スターバックス コーヒー 千里中央店,千里中央駅 126m,カフェ,,3.06,42,289,～￥999,～￥999,大阪府豊中市新千里東町1-1-3 SENRITOよみうり2F
きりん,三国駅 687m,喫茶店,,3.02,3,36,-,～￥999,大阪府豊中市豊南町南4-5-2
ぎょうざ ろん 本店,豊中駅 129m,餃子、中華料理、居酒屋,,3.06,12,338,"￥2,000～￥2,999",-,大阪府豊中市本町1-11-17 柴切ビル
学生交流棟 カフェテリア かさね,石橋阪大前駅 695m,学生食堂,,3.01,1,37,-,～￥999,大阪府豊中市待兼山町1-5 大阪大学豊中キャンパス 学生交流棟 1F
ファミリーマート 豊中岡町北店,岡町駅 539m,コンビニ・スーパー,,3,2,7,-,-,大阪府豊中市岡町北2-18-28
Kitchen FukuFuku,岡町駅 803m,レストラン、カフェ,,3.05,3,207,-,"￥1,000～￥1,999",大阪府豊中市南桜塚3-8-5
フルーツ オクダ,服部天神駅 85m,その他,,3,3,35,-,-,大阪府豊中市服部元町1-6-8
空港専門大店 大阪国際空港 １号店,大阪空港駅 158m,その他、たこ焼き,,3,7,38,-,-,大阪府豊中市蛍池西町3-555 大阪国際空港 ターミナルビル 北ターミナル(JAL出発ロビー)2F
やきとり福福,牧落駅 862m,焼き鳥,,3.03,4,115,-,-,大阪府豊中市春日町5-6-6
サンモリッツ,服部天神駅 145m,喫茶店,,3.01,5,60,-,-,大阪府豊中市服部南町1-3-33
阪急OASIS 夕日丘店,豊中市,コンビニ・スーパー,,3,3,6,-,-,大阪府豊中市夕日丘1-1-5
電撃酒場GORI,庄内駅 178m,立ち飲み,,3.07,17,381,"￥1,000～￥1,999",-,大阪府豊中市庄内東2-3-7
双樹 阪急百貨店千里中央店,千里中央駅 271m,弁当、惣菜・デリ,,3.05,8,89,-,-,大阪府豊中市新千里東町1-5-1 千里阪急百貨店 B1F
ホリーズカフェ イオンタウン豊中緑丘店,少路（大阪モノレール）駅 955m,カフェ,,3.01,11,41,～￥999,-,大阪府豊中市緑丘4-1-3 イオンタウン豊中緑丘店1F
パン工場ホノホノ,曽根駅 354m,パン,,3.11,18,308,-,-,大阪府豊中市曽根南町1-22-3 ハーツアベニュー E3 1F
居酒屋 いさり火 服部天神,服部天神駅 287m,居酒屋,,,1,44,"￥2,000～￥2,999",-,大阪府豊中市服部本町1-4-6
アフタヌーンティー・ティールーム 千里阪急,千里中央駅 249m,カフェ、ケーキ、パスタ,,3.06,40,499,-,"￥1,000～￥1,999",大阪府豊中市新千里東町1-5-1 千里阪急 1F
炭火焼鳥 かん馬,豊中市,焼き鳥、鳥料理,,3.06,5,190,"￥3,000～￥3,999",-,大阪府豊中市小曽根2-3-1
きりん寺 大阪大学前店,石橋阪大前駅 247m,油そば・まぜそば,,3.03,68,825,～￥999,～￥999,大阪府豊中市待兼山町21-5
とんかつ ハク,柴原阪大前駅 646m,とんかつ,,3.04,3,58,-,-,大阪府豊中市柴原町1-2-2
鳥貴族 岡町店,岡町駅 314m,焼き鳥、鳥料理、居酒屋,,3.02,14,130,"￥2,000～￥2,999",-,大阪府豊中市中桜塚2-18-5 文学館ビル1F
地鶏専門おちば屋 HANARE 蛍池店,蛍池駅 132m,焼き鳥、鳥料理,,3.05,4,294,-,-,大阪府豊中市蛍池東町1-2-9 ビジネスホテルつじ井 1F
ちりめん山椒 おく忠,服部天神駅 280m,その他,,,1,15,-,～￥999,大阪府豊中市服部南町1-5-12
庄内居酒屋くるくる,庄内駅 158m,居酒屋,,3.07,5,68,"￥4,000～￥4,999","￥1,000～￥1,999",大阪府豊中市庄内東町2-2-10 2F
patisserie hana hana,豊中市,ケーキ,,3.13,23,526,-,-,大阪府豊中市熊野町4-11-9 1F
お肉屋さんのひとり焼肉 イオンタウン豊中庄内店,庄内駅 614m,焼肉、ホルモン,,3.09,54,372,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府豊中市庄内西町5-1-22 イオンタウン豊中庄内 1F
ジャンカラ 豊中駅前店,豊中駅 52m,カラオケ、その他,,3.01,3,6,-,-,大阪府豊中市玉井町1-2-1 豊中駅前ビルディング 6～7F
中国鮮家 響鈴,桃山台駅 552m,中華料理、四川料理、からあげ,,3.37,82,3078,"￥3,000～￥3,999","￥2,000～￥2,999",大阪府豊中市新千里南町3-1-24 桃山台グリーンピア　１Ｆ
おどりや 庄内店,庄内駅 117m,居酒屋、海鮮、ちゃんこ鍋,,3.08,15,236,"￥2,000～￥2,999",-,大阪府豊中市庄内東町2-1-14
Cafe Bee,岡町駅 494m,カフェ,,,12,,-,-,大阪府豊中市岡の上町3-7-10
香豚煮本舗まつおか 阪急千里店,千里中央駅 265m,惣菜・デリ、弁当,,,10,,-,-,大阪府豊中市新千里東町1-5-1 千里阪急 B1F
大蔵 服部店,服部天神駅 208m,居酒屋,,3,3,23,-,-,大阪府豊中市服部元町2-2-19
Prosper22,桃山台駅 576m,ケーキ,,3.08,9,213,-,-,大阪府豊中市上新田3-3-16
イタリア料理サルーチェ,豊中市,イタリアン,,3.09,21,741,"￥10,000～￥14,999","￥4,000～￥4,999",大阪府豊中市栗ヶ丘町9-34
美味,岡町駅 607m,お好み焼き,,,2,9,-,-,大阪府豊中市岡町南3-5-29
関西メディカルスカイハウス,千里中央駅 358m,レストラン,,,1,,-,-,大阪府豊中市新千里西町1-1-7-3 10F
すみ川,庄内駅 720m,寿司,,3.03,4,17,-,-,大阪府豊中市庄内栄町1-7-1
コラボひろば交流カフェ,千里中央駅 349m,カフェ,,3.04,5,15,-,～￥999,大阪府豊中市新千里東町1-2-2 千里文化センター 2F
ベジタブル&フルーツストア ポン太青果,岡町駅 49m,その他,,3.02,5,94,-,-,大阪府豊中市中桜塚1-2-1
伊達屋,神崎川駅 403m,居酒屋,,3.06,5,57,"￥1,000～￥1,999",-,大阪府豊中市大島町3
四季 おがさわら,服部天神駅 247m,日本料理、寿司、天ぷら,,3.06,13,620,"￥5,000～￥5,999",-,大阪府豊中市服部豊町1-3-8
ナチュラルスタイル,豊中市,バー,,3.04,5,106,"￥2,000～￥2,999",-,大阪府豊中市東豊中町5-12-1
ロンドン,神崎川駅 793m,喫茶店,,3.06,5,75,-,-,大阪府豊中市大島町1-2-7
島田製麺食堂,岡町駅 736m,ラーメン、つけ麺、餃子,,3.49,259,9640,～￥999,～￥999,大阪府豊中市宝山町23-13
