店の名前,駅からの距離,店のカテゴリ(キーワード),紹介文,評価,コメント数,ブックマーク数,夜の予算,昼の予算,住所,緯度,経度
梅の花 千里中央店,千里中央駅 49m,豆腐料理、日本料理、しゃぶしゃぶ,和の粋を感じる大小様々な個室《２名様用～最大36名様迄》シルクのような出来立て湯葉をどうぞ,3.08,63,1176,"￥4,000～￥4,999","￥2,000～￥2,999",大阪府豊中市新千里東町1-1-5 大阪モノレール千里中央ビル　１Ｆ・Ｂ１Ｆ,34.808811,135.494156
がんこ和食 千里中央店,千里中央駅 96m,居酒屋、寿司、海鮮,【千里中央駅 2番出口】本格懐石をカジュアルに。飲み放題付コースも多数で宴会利用に最適です◎,3.08,99,828,"￥2,000～￥2,999",-,大阪府豊中市新千里東町1-5-3 千里朝日阪急ビル2F,34.808746,135.49588
タータンナディ,豊中市,インドカレー、インド料理、タイ料理,豊中市◇５つ星ホテルで経験を積んだシェフによる、食材にとことんこだわったアジア料理,3.42,166,5427,"￥3,000～￥3,999","￥1,000～￥1,999",大阪府豊中市向丘3-11-45 ローザ向丘　１Ｆ,34.814396,135.473724
創作串焼 Garage 豊中駅南口店,豊中駅 247m,居酒屋、焼き鳥、しゃぶしゃぶ,豊中駅│12月1日オープン！自慢のお肉と旬魚旬菜の創作串と野菜しゃぶしゃぶを楽しめる♪,3.05,4,155,"￥4,000～￥4,999",-,大阪府豊中市岡上の町3-2-3,34.785606,135.463409
炉端と酒,庄内駅 238m,居酒屋、海鮮、ろばた焼き,庄内駅3分◆お造りや炭焼きで旬の食材を味わう！厳選の日本酒や焼酎が充実◎深夜25時まで営業,3.05,11,251,"￥4,000～￥4,999",-,大阪府豊中市庄内西町2-6-1,34.751682,135.473923
串家物語 ＬＡＢＩ千里店,千里中央駅 518m,串揚げ、居酒屋、ビュッフェ,【LABI千里 4F】「揚げる楽しさ、選ぶわがまま！」 すべてのメニューが食べ放題！！,3.01,37,575,"￥2,000～￥2,999","￥2,000～￥2,999",大阪府豊中市新千里東町1-2-20 LABI千里 4F,34.811497,135.4944
和食しゃぶしゃぶ かごの屋 服部店,服部天神駅 257m,日本料理、しゃぶしゃぶ、ビュッフェ,旬の味覚をとり入れ、出来立ての美味しさを提供する「かごの屋」,3.05,33,403,"￥2,000～￥2,999","￥1,000～￥1,999",大阪府豊中市服部南町1-7-7,34.761265,135.476379
とり銀,服部天神駅 390m,焼肉、焼き鳥、居酒屋,比内地鶏や国産鶏を焼肉スタイルで♪秘伝のタレと白米と一緒に◎,3.09,20,628,"￥3,000～￥3,999",～￥999,大阪府豊中市服部南町3-4-1,34.76012,135.476212
千里中央 海鮮食堂おーうえすと,千里中央駅 257m,海鮮、居酒屋、食堂,【千里中央駅直結！徒歩30秒以内】漁港直送鮮魚が旨い！毎日昼飲みもできる！海鮮居酒屋食堂,3.4,167,2618,"￥3,000～￥3,999",～￥999,大阪府豊中市新千里東町1-3-20 B1F,34.808842,135.494934
豊麺,曽根駅 566m,ラーメン、油そば・まぜそば、麺類,名古屋コーチンの中華そば・しじみベースの貝出汁そばを満喫！アットホームな空間は日常使いに◎,3.38,110,1468,"￥1,000～￥1,999",～￥999,大阪府豊中市南桜塚1-4-3 スタジオ桜塚 102,34.77552,135.471008
ステーキハウス華,桃山台駅 545m,ステーキ、海鮮、鉄板焼き,◇接待・記念日のお食事に◇特選黒毛和牛・鮑は極上の“鉄板焼き”に◎特別なお食事を楽しんで,3.28,64,2988,"￥10,000～￥14,999","￥2,000～￥2,999",大阪府豊中市上新田3-2-10,34.797161,135.496292
炭焼 お家はん,庄内駅 116m,焼き鳥、居酒屋,庄内駅3分◆炭火で焼き上げる味自慢の焼鳥◎ご宴会等にお得なコース有！ゆっくり寛げる空間,3.05,15,315,"￥4,000～￥4,999",-,大阪府豊中市庄内西町2-20-31,34.750507,135.47319
かに道楽 豊中店,少路（大阪モノレール）駅 361m,かに、日本料理、海鮮,【少路駅5分】ゆったりとした和空間×「かにすき」をはじめとした自慢のかに料理でおもてなし,3.17,104,833,"￥6,000～￥7,999","￥3,000～￥3,999",大阪府豊中市少路1-1-5,34.803066,135.472107
甘太郎 千里中央店,千里中央駅 92m,居酒屋、焼肉、しゃぶしゃぶ,各線千里中央駅からスグ♪あなたの「いつもの居酒屋」に！,3.06,89,1535,"￥3,000～￥3,999","￥2,000～￥2,999",大阪府豊中市新千里東町1-5-3 千里朝日阪急ビル　２２Ｆ,34.808746,135.49588
あぶりや 庄内店,庄内駅 327m,焼肉、ホルモン,プロ厳選のお肉と贅沢なサイドメニュー。ひとつ上の食べ放題にこだわった焼肉店,3.06,29,818,"￥4,000～￥4,999","￥4,000～￥4,999",大阪府豊中市庄内西町4-1-21,34.747272,135.474792
もつ鍋 宝来,服部天神駅 872m,もつ鍋、居酒屋,江坂の隠れ家で味わう、絶品九州黒毛和牛もつ鍋と新鮮ホルモン料理。グループ利用や宴会にも最適,3.19,24,689,"￥4,000～￥4,999",-,大阪府豊中市浜2-16-1,34.760357,135.483582
SALVATORE CUOMO & BAR　千里中央,千里中央駅 93m,ピザ、イタリアン、ビュッフェ,世界的祭典「PIZZAFEST」で最優秀賞を受賞◆ナポリ薪窯ピッツァが楽しめるお店◎,3.32,156,6495,"￥3,000～￥3,999","￥1,000～￥1,999",大阪府豊中市新千里東町1-1-3 SENRITOよみうり 　2F,34.808811,135.494156
味処 祭,桃山台駅 552m,居酒屋、ふぐ、寿司,【桃山台駅7分】厳選食材で作り上げる料理は200品以上！お好きな品を肴に楽しく飲める居酒屋,3.21,29,744,"￥5,000～￥5,999",-,大阪府豊中市新千里南町3-1-24 桃山台グリーンピア　１Ｆ,34.795811,135.492798
慶州館,岡町駅 291m,焼肉、ホルモン、居酒屋,リピーターが絶えない人気店◎特選和牛【万葉牛】で至福のひとときを！,3.63,173,3857,"￥5,000～￥5,999",-,大阪府豊中市中桜塚2-18-8 丸正ビル　２Ｆ,34.780064,135.468201
華や 緑地公園店,緑地公園駅 170m,中華料理,至高の味と最高のおもてなしを・・・【宴会のご予約承り中♪ご予算等お気軽にご相談ください。】,3.44,206,6317,"￥3,000～￥3,999","￥1,000～￥1,999",大阪府豊中市寺内2-2-26 ロワール緑地 102号,34.776505,135.494003
モルト・ボーノ 豊中稲荷神社前店,豊中駅 451m,パスタ、ピザ、イタリアン,【豊中駅約6分】もちもちの生パスタや丁寧に焼き上げるピザを堪能！お酒に合う一品も充実◎,3.21,65,1442,"￥2,000～￥2,999","￥1,000～￥1,999",大阪府豊中市本町5-2-3 ハイムラポールPartX 1F,34.789646,135.466019
杵屋 豊中エトレ店,豊中駅 52m,うどん、そば、居酒屋,熟練職人が製麺する、コシの強い讃岐うどん。生醤油や関西風出汁で気軽に味わう◎,3.06,31,155,-,～￥999,大阪府豊中市玉井町1-1-1 エトレ豊中 4F,34.787334,135.461502
千里中央海鮮食堂 はなれ おーうえすと,千里中央駅 271m,居酒屋、海鮮、寿司,2025年11月1日オープン❗️＜喫煙室完備＞漁港直送鮮魚を味わえる海鮮居酒屋食堂っ！,3.07,7,164,"￥3,000～￥3,999","￥1,000～￥1,999",大阪府豊中市新千里東町1-3-20 せんちゅうパル B1F 17区画,34.808842,135.494934
ステーキのどん 中環柴原店,柴原阪大前駅 83m,ステーキ、ハンバーグ、ファミレス,ステーキ業界の「どん！」圧倒的ボリューム＆コスパでお腹も財布も大満足！,3.06,68,564,"￥1,000～￥1,999",～￥999,大阪府豊中市刀根山元町5-50,34.799568,135.458221
炭火焼地鶏料理 きたろう。,岡町駅 346m,焼き鳥、居酒屋、日本料理,≪岡町駅2分≫季節で異なるブランド地鶏使用！紀州備長炭で焼く串焼きと鶏創作料理をご堪能,3.2,42,1529,"￥4,000～￥4,999",-,大阪府豊中市中桜塚2-18-2,34.780064,135.468201
OLU BURGER KYOTO RYOKUCHI,緑地公園駅 161m,ハンバーガー、カフェ、バル,京都バーガーランキング1位タイ大阪5位タイ！京都和牛100%使用した肉感たっぷりバーガー！,3.45,163,5280,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府豊中市寺内2-2-26 ロワール緑地 1F,34.776505,135.494003
らーめん居酒屋 志みづ家,庄内駅 51m,ラーメン、つけ麺、居酒屋,【庄内駅1分】アットホームな店内◆沖縄料理や本格中華に、〆のラーメンまで！貸切・カラオケ可,3.04,13,253,"￥2,000～￥2,999",-,大阪府豊中市庄内西町2-22-36,34.74934,135.474716
きて屋 庄内駅前店,庄内駅 122m,居酒屋、焼き鳥、おでん,庄内駅2分◆職人による炭火焼鳥と2種のダシを使ったおでん、バラエティ豊かな本格焼酎を堪能！,3.06,14,237,"￥3,000～￥3,999",-,大阪府豊中市庄内東町4-2-28,34.749844,135.476776
ラ・ヴェリータ,豊中駅 517m,イタリアン、馬肉料理、ピザ,イタリアで腕を磨いたシェフが織り成す料理と200種類のワインのマリアージュ◆団体様大歓迎,3.09,54,2048,"￥6,000～￥7,999","￥1,000～￥1,999",大阪府豊中市岡上の町4-1-7 パヴィヨン豊中 B1F,34.784943,135.466507
焼肉 とよなか流,豊中駅 434m,焼肉、ホルモン,あの完全予約制で住所非公開の豊中の有名焼肉店がついにオープンスタイルに！！,3.59,171,10219,"￥6,000～￥7,999",-,大阪府豊中市本町3-7-75,34.791161,135.458923
ラ・メゾンブランシュ,豊中市,フレンチ、野菜料理,豊中の郊外に佇む、モダンな一軒家レストラン◇シェフにすべてを委ねるフレンチ&ワインを堪能,3.5,133,8055,"￥10,000～￥14,999","￥4,000～￥4,999",大阪府豊中市上野東1-4-14,34.792252,135.47319
裕,豊中駅 554m,焼き鳥、居酒屋、日本酒バー,アットホームな隠れ家◎備長炭で焼いた焼鳥や旬のおばんざいを、豊富な日本酒やウイスキーと嗜む,3.07,9,607,"￥5,000～￥5,999",-,大阪府豊中市本町6-1-3 195STREETビル B1F,34.790089,135.467148
まぐろ屋ゑびす 伊丹空港店,大阪空港駅 139m,海鮮,【伊丹空港】 こだわりのマグロを是非ご賞味ください！,3.47,402,4288,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府豊中市蛍池西町3-555 大阪国際空港 3F,34.787849,135.444946
うな豊 豊中本店,少路（大阪モノレール）駅 132m,うなぎ、海鮮、日本料理,備長炭で香ばしく焼き上げる、仕込みからこだわった関西風うなぎと種類豊富な一品料理に舌鼓。,3.29,112,2029,"￥4,000～￥4,999","￥3,000～￥3,999",大阪府豊中市少路1-10-15,34.804916,135.475311
大阪難波 焼肉 けいごう,服部天神駅 114m,焼肉、ステーキ、牛タン,す三大和牛のひとつ・近江牛の中でも厳選した雌牛のみを使用。極上の和牛を上質な空間でぜひ。,3.08,13,487,"￥5,000～￥5,999",-,大阪府豊中市服部西町1-2-20 グリーンビル 1F,34.763294,135.47438
八剣伝 蛍池駅前店,蛍池駅 135m,焼き鳥,本格炭火焼鳥など自慢の料理を昭和レトロな店内で。グループでもお一人様でもお気軽に♪,3.03,11,102,-,-,大阪府豊中市螢池中町2-3-1,34.793552,135.44931
きん太 東豊中店,豊中市,お好み焼き、鉄板焼き、焼きそば,こだわり素材と職人技！快適空間で、アツアツの絶品お好み焼き・鉄板焼きを味わい尽くす◎ご宴会,3.05,42,366,"￥1,000～￥1,999",～￥999,大阪府豊中市東豊中町6-16-8,34.793194,135.483047
八剣伝 東豊中店,桃山台駅 797m,居酒屋,本格炭火焼鳥など自慢の料理を昭和レトロな店内で。グループでもお一人様でもお気軽に♪,3,2,59,-,-,大阪府豊中市東豊中町5-31-12,34.792946,135.488098
The LOAF Cafe,石橋阪大前駅 453m,カフェ、イタリアン、ビストロ,カフェ、ステーキ、ベーカリー、スイーツ全部つまった一軒家レストラン,3.46,275,10619,"￥2,000～￥2,999","￥1,000～￥1,999",大阪府豊中市清風荘2-4-23,34.80426,135.44783
さかなや道場 豊中駅前店,豊中駅 78m,居酒屋、海鮮,【豊中駅徒歩2分】個室完備！ 2時間飲み放題付きコースも各種ご用意！,3.03,20,420,"￥3,000～￥3,999",～￥999,大阪府豊中市玉井町1-3-2 1F,34.786678,135.460602
BAR SANGO,蛍池駅 315m,バー,,,16,,"￥3,000～￥3,999",-,大阪府豊中市螢池東町2-4-8 ハイライフ 1F,34.796921,135.448181
KICHIRI 千里中央,千里中央駅 105m,居酒屋、海鮮、イタリアン,【1月26日空席ございます！】新年会・歓送迎会でのご利用、記念日のサプライズも承ります！,3.06,62,1978,"￥3,000～￥3,999",-,大阪府豊中市新千里東町1-3-11 せんちゅうパル 3F,34.808842,135.494934
アジアン料理と燻製バル HaHaHa,庄内駅 332m,タイ料理、アジア・エスニック,タイ料理をメインとしたハーブとスパイス料理＋燻製創作料理と多彩なドリンクをお楽しみください,3.21,14,264,"￥3,000～￥3,999",～￥999,大阪府豊中市庄内西町2-10-19,34.751869,135.472412
串もん,岡町駅 321m,串揚げ、居酒屋、海鮮,,3.06,13,302,"￥3,000～￥3,999",-,大阪府豊中市中桜塚2-25-5,34.779697,135.468475
志なのすけ 庄内店,庄内駅 164m,居酒屋、海鮮、焼き鳥,,3.05,19,232,"￥3,000～￥3,999",-,大阪府豊中市庄内西町3-2-3,34.748791,135.474533
ひよこ,服部天神駅 343m,居酒屋、焼き鳥、海鮮,2名から25名までのお座敷完備♪お客様それぞれのご要望に合わせてお任せコースご準備します◎,3.07,15,473,"￥3,000～￥3,999",-,大阪府豊中市服部本町1-5-25 エクセレンス豊中　１Ｆ,34.76355,135.478653
仲代志,柴原阪大前駅 922m,寿司,,,1,38,"￥4,000～￥4,999","￥4,000～￥4,999",大阪府豊中市春日町1-12-7,34.806774,135.465134
くしかつ専門店 オリオ,豊中市,串揚げ、居酒屋、日本料理,,3.07,14,421,"￥4,000～￥4,999","￥1,000～￥1,999",大阪府豊中市上野東2-2-50 和田マンション 1F,34.793472,135.4729
焼肉 日の出,庄内駅 91m,焼肉,【庄内駅30秒】精肉店直営の焼肉屋でお得に味わうA5ランク黒毛和牛◆少人数貸切可能な隠れ家,3.58,53,1891,"￥6,000～￥7,999",-,大阪府豊中市庄内東町1-7-22,34.750347,135.47583
三姉妹のパパ,千里中央駅 585m,カフェ、バー,,3.04,2,57,"￥2,000～￥2,999","￥1,000～￥1,999",大阪府豊中市上新田1-24 パークヒルズ M-105,34.802334,135.49498
餃子の勝 豊中本店,豊中駅 234m,餃子、居酒屋、中華料理,メディア出演多数の絶品餃子を是非食べてみてください❗️一品メニューも豊富な町中華酒場✨,3.41,162,7358,"￥2,000～￥2,999",～￥999,大阪府豊中市本町1-4-3,34.786457,135.46402
蕎麦に酒 しろや,服部天神駅 52m,居酒屋、そば,【服部天神駅1分】炭火香る鴨のタタキや旬の創作料理を満喫。〆は手打ち蕎麦を◎一軒目利用にも,3.26,25,1062,"￥4,000～￥4,999","￥1,000～￥1,999",大阪府豊中市服部西町1-1-6,34.763283,135.474808
ル・パン神戸北野 伊丹空港店,大阪空港駅 128m,カフェ、パン、スイーツ,【伊丹空港内】ラ・スイート直営◆手作りスイーツや、ホテルレストラン自慢の料理をゆったり堪能,3.48,550,5639,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府豊中市蛍池西町3-555 大阪国際空港 中央ブロック 2F,34.787849,135.444946
ふぐと鉄板焼がぶ飲み酒場 庄内駅前店,庄内駅 86m,居酒屋、そば、お好み焼き,串カツ・鉄板焼き・フグ料理！お酒もOKの”おとなのドリンクバー”,3.09,19,646,"￥3,000～￥3,999",～￥999,大阪府豊中市庄内西町2-4-3 庄内駅前ビル 2F,34.750881,135.474457
お魚とおでんとお寿司1122 富久田や,庄内駅 33m,居酒屋、寿司、おでん,"【庄内駅より徒歩1分】新鮮なお魚を味わえ、しかも""リーズナブル""にご堪能頂けます！！",3.13,26,848,"￥3,000～￥3,999",-,大阪府豊中市庄内東町1-7-38,34.750347,135.47583
蓮天,蛍池駅 135m,居酒屋、バー、立ち飲み,,3.02,1,17,"￥1,000～￥1,999",-,大阪府豊中市蛍池東町2-6-27,34.795815,135.449707
Kitchen EDYH,庄内駅 571m,イタリアン,,3.02,2,71,"￥2,000～￥2,999","￥1,000～￥1,999",大阪府豊中市庄内幸町4-28-1 パレ豊中,34.746925,135.470078
武遊田,緑地公園駅 108m,居酒屋、寿司、海鮮,【緑地公園駅より徒歩２分】旬の鮮魚と銘酒に舌鼓。リラックスして過ごせる、大人の隠れ家。,3.23,28,1151,"￥5,000～￥5,999",-,大阪府豊中市東寺内町13-23 ラ・メゾン　１Ｆ,34.775269,135.496857
海鮮網焼き 海ほたる 蛍池店,蛍池駅 309m,海鮮、居酒屋,北海道〜沖縄まで日本中の選りすぐりの海鮮を海ほたるで！1月は空くじなしの抽選会実施中！,3.18,15,370,"￥4,000～￥4,999",-,大阪府豊中市蛍池東町2-4-5 ワイエムビル 1F,34.796921,135.448181
旬菜酒房 まうんと,服部天神駅 359m,居酒屋,,3.03,2,86,"￥4,000～￥4,999",～￥999,大阪府豊中市服部西町2-6-9,34.763107,135.471405
ビストロ×バル Marcy,豊中駅 285m,ビストロ、フレンチ、イタリアン,,3.23,27,1341,"￥6,000～￥7,999","￥3,000～￥3,999",大阪府豊中市本町3-15-27 宮本マンション 1F,34.789787,135.463104
郷土料理　ちかっぱ,豊中駅 141m,居酒屋、海鮮、とんかつ,食べログ3.5以上を何軒も輩出してきた凄腕料理人。九州の旨いもんが堪能できる創作和食居酒屋,3.21,18,731,"￥5,000～￥5,999","￥2,000～￥2,999",大阪府豊中市本町1-12-3,34.788456,135.462692
鼓道,豊中駅 437m,そば、鳥料理、親子丼,昼は蕎麦と発酵料理、夜は合鴨と発酵料理のお店です。,3.61,752,36893,"￥6,000～￥7,999","￥1,000～￥1,999",大阪府豊中市本町5-2-2 フォレストパーク 1F,34.789646,135.466019
ブン（豊）,岡町駅 75m,焼き鳥,岡町駅1分■朝引き地鶏の焼鳥やお鍋を厳選日本酒と堪能◎アットホームな空間でゆったりと乾杯を,3.06,11,399,"￥3,000～￥3,999",-,大阪府豊中市岡町1-24,34.780407,135.465012
バルスタンド わだち,蛍池駅 175m,居酒屋,,3.02,2,72,"￥2,000～￥2,999",-,大阪府豊中市螢池東町2-6-6 蛍池サンビル 1F,34.795815,135.449707
Oyster house Kai 阪急蛍池店,蛍池駅 122m,オイスターバー、イタリアン、海鮮,蛍池駅1分◆新鮮な生牡蠣を一年中ご提供！新年会のご予約承っております,3.36,95,2935,"￥4,000～￥4,999","￥1,000～￥1,999",大阪府豊中市蛍池東町1-6-8 リバーサイドビルⅡ,34.795189,135.449768
源樹や 服部店,服部天神駅 45m,居酒屋、海鮮,,3.06,11,213,"￥3,000～￥3,999",-,大阪府豊中市服部豊町1-1-2,34.764015,135.474686
Wine Shop & Bar Le Repos,豊中駅 286m,ワインバー、ビストロ,,3.09,6,328,"￥3,000～￥3,999",-,大阪府豊中市本町3-15-27 宮本マンション 1E,34.789787,135.463104
鮨はぐれ,曽根駅 146m,寿司,,3.04,5,132,"￥8,000～￥9,999",-,大阪府豊中市曽根西町3-5-33,34.772606,135.466171
宮崎地鶏炭火焼 車 蛍池店,蛍池駅 355m,焼き鳥、鳥料理、居酒屋,,3.08,59,1324,"￥4,000～￥4,999",-,大阪府豊中市螢池中町4-4-11 エアーセンタービル　１Ｆ,34.796204,135.446259
ニューリトルインディア 庄内店,庄内駅 109m,インド料理、インドカレー,,3.06,7,134,"￥1,000～￥1,999",～￥999,大阪府豊中市庄内東町2-1-6 三和ビル 2F,34.749413,135.475693
CALMEX 豊中店,豊中駅 57m,メキシコ料理,【豊中駅1分】本場のスパイスで作る本格メキシコ料理◎女子会から貸切イベントまで大歓迎♪,3.04,4,144,"￥2,000～￥2,999","￥1,000～￥1,999",大阪府豊中市本町1-10-5 B1F,34.788055,135.461243
菴,蛍池駅 121m,イタリアン,,3.07,12,730,"￥10,000～￥14,999","￥10,000～￥14,999",大阪府豊中市蛍池中町2-4-2 KEY'S蛍池 101,34.79343,135.448792
犇屋 豊中店,豊中駅 82m,焼肉,,3.08,24,932,"￥5,000～￥5,999","￥2,000～￥2,999",大阪府豊中市玉井町1-3-26,34.786678,135.460602
中華酒場 Chibang,庄内駅 286m,中華料理、居酒屋、バル,,3.07,7,198,"￥4,000～￥4,999",-,大阪府豊中市庄内西町1-3-10 庄内西町ビル,34.75248,135.473358
肉屋の創作串揚げ Garage 豊中駅前店,豊中駅 197m,串揚げ、居酒屋、創作料理,【豊中駅すぐ路地裏】ホテル出身フレンチシェフによる華やかな創作串揚げのお店,3.26,37,1186,"￥5,000～￥5,999",-,大阪府豊中市本町1-2-23,34.787102,135.462646
間借りイタリアン Gastoria T,豊中駅 70m,イタリアン、ビストロ、創作料理,駅近にひっそりと佇む、間借りイタリアン◎少人数での貸切可,3.06,8,465,"￥5,000～￥5,999",-,大阪府豊中市玉井町1-2-15,34.787346,135.460846
大阪エアポートワイナリー,大阪空港駅 112m,バル、ワインバー、イタリアン,世界初！大阪国際(伊丹)空港内のワイン醸造所＆併設ワインバル!!,3.47,319,3314,"￥2,000～￥2,999","￥1,000～￥1,999",大阪府豊中市蛍池西町3-555 大阪国際空港(伊丹空港)中央ターミナル 3F,34.787849,135.444946
焼肉 臥龍,曽根駅 506m,焼肉、韓国料理、居酒屋,A4・A5ランクの黒毛和牛をリーズナブルに！老若男女問わず大歓迎な日常に寄り添う焼肉屋,,4,95,"￥3,000～￥3,999","￥2,000～￥2,999",大阪府豊中市曽根東町2-12-13 ル・モンド曽根 B1F,34.773621,135.472488
明石鮓,岡町駅 115m,寿司,,3.14,24,1402,"￥8,000～￥9,999",-,大阪府豊中市岡町北1-4-11 エムエス岡町ビル 1F,34.77866,135.46347
BAR GEAR,豊中市,バー,,3.02,1,53,"￥2,000～￥2,999",-,大阪府豊中市旭丘5-104,34.787086,135.481888
カレー&ナン Tandoor 南桜塚店,曽根駅 413m,インドカレー,,3.09,16,255,"￥1,000～￥1,999",-,大阪府豊中市南桜塚1-22-5 GARE南桜塚 1F,34.77375,135.471283
あみや 蛍池店,蛍池駅 145m,焼き鳥、鳥料理、居酒屋,,3.09,54,1526,"￥3,000～￥3,999",-,大阪府豊中市蛍池東町2-1-13,34.795609,135.449081
和牛炙り焼割烹せんりや,千里中央駅 145m,日本料理、焼肉、居酒屋,,3.34,90,4681,"￥4,000～￥4,999","￥1,000～￥1,999",大阪府豊中市新千里東町1-3-149 せんちゅうパル 1F,34.808842,135.494934
あの餃子家,庄内駅 400m,餃子、居酒屋、からあげ,【庄内駅8分】ニンニク不使用の餃子や、店内仕込みの唐揚げやチャーシューなどの逸品もご堪能！,3.12,9,105,"￥2,000～￥2,999",～￥999,大阪府豊中市庄内幸町1-5-5,34.752224,135.4711
鉄板はうすたなぼた,服部天神駅 88m,居酒屋、お好み焼き、鉄板焼き,服部天神駅1分◆部位が選べるA5黒毛和牛の鉄板焼きや50種以上の焼酎をお手頃価格で。貸切可,3.08,24,490,"￥2,000～￥2,999",-,大阪府豊中市服部元町1-6-9,34.763618,135.476028
とよなか桜会,少路（大阪モノレール）駅 416m,日本料理,四季折々の食材や新鮮な旬魚を活かした懐石料理をコースで堪能◆接待・ビジネス宴会にも最適。,3.61,125,7013,"￥10,000～￥14,999","￥6,000～￥7,999",大阪府豊中市桜の町7-10-7 オスカービル2F,34.806099,135.471191
KOZMIC長屋バー,豊中駅 108m,バー、オムライス,【阪急豊中駅3分】ランチはふわとろオムライスを、夜はバーで落ち着くひと時を豊富なお酒と満喫,3.39,36,1268,"￥2,000～￥2,999",～￥999,大阪府豊中市本町1-11-24 2F,34.788216,135.461884
創作イタリアン久保田,豊中駅 319m,ダイニングバー、イタリアン、創作料理,イタリアンを中心とした創作料理の数々、ご家族でのご利用もゆったり過ごして頂けます。,3.09,20,1056,"￥3,000～￥3,999","￥2,000～￥2,999",大阪府豊中市本町3-5-45,34.789986,135.4608
牛宗まるなか 桃山台店,桃山台駅 523m,焼肉、韓国料理、居酒屋,【桃山台駅5分】精肉店直営だからこその良質な黒毛和牛を味わえる焼肉店。駐車場完備◎,3.08,12,265,"￥4,000～￥4,999",-,大阪府豊中市上新田3-2-7 1F,34.797161,135.496292
千里菫,千里中央駅 341m,洋食、ステーキ、イタリアン,,3.44,193,5070,"￥3,000～￥3,999","￥1,000～￥1,999",大阪府豊中市新千里東町1-3-23 せんちゅうパルB1 23号,34.808842,135.494934
韓国料理バム,緑地公園駅 225m,韓国料理、焼肉,,3.09,26,570,"￥2,000～￥2,999",-,大阪府豊中市寺内2-10-8 緑地8番館ビル 1F,34.773464,135.493683
らっぱ屋,庄内駅 155m,焼肉、ホルモン,【庄内駅2分】厚切りで上質な厳選黒毛和牛×お酒もリーズナブル！各種宴会に◎インボイス登録店,3.17,14,335,"￥4,000～￥4,999","￥1,000～￥1,999",大阪府豊中市庄内西町3-1-13,34.749115,135.474411
ほたる翔,蛍池駅 203m,焼肉、ホルモン、韓国料理,自家製タレでいただくこだわりの黒毛和牛◎上質な空間で贅沢なひとときを…,3.14,22,364,"￥6,000～￥7,999",-,大阪府豊中市蛍池東町2-5-1 MASUMIビル 1F,34.796551,135.449631
黒毛和牛焼肉 ビーファーズ 庄内牧場,庄内駅 565m,焼肉,,3,1,9,-,-,大阪府豊中市庄内西町5-1-14,34.74498,135.475403
Steak House GARAGE 豊中本店,豊中駅 79m,ステーキ、ハンバーガー、パスタ,【豊中駅すぐ】最高級和牛ヘレステーキを地域最強コスパで提供♪2階貸切宴会◎,3.21,36,2156,"￥5,000～￥5,999","￥1,000～￥1,999",大阪府豊中市玉井町1-9-19,34.787441,135.460403
麦酒＆串カツ 豊穣,豊中駅 63m,串揚げ、居酒屋,【豊中駅1分】四季折々の串カツ×大阪限定・樽生クラフトビール。一人飲みから女子会・接待まで,3.07,9,269,"￥4,000～￥4,999",-,大阪府豊中市玉井町1-2-13,34.787346,135.460846
たこちゃん 岡町中桜塚店,岡町駅 342m,たこ焼き、お好み焼き、居酒屋,阪急岡町駅5分◆ボリュームたっぷりな大玉のたこ焼きが自慢！気軽に入れる空間は昼飲みも可能♪,3,7,62,"￥2,000～￥2,999","￥1,000～￥1,999",大阪府豊中市中桜塚2-18-2,34.780064,135.468201
鉄板焼 お好み焼 川福,豊中駅 85m,居酒屋、お好み焼き、鉄板焼き,【豊中駅徒歩3分】サク飲みにも◎自慢のお好み焼きからもんじゃ、お酒にぴったりの一品まで♪,3.18,14,413,"￥2,000～￥2,999","￥1,000～￥1,999",大阪府豊中市本町1-10-1 ボーゼム豊中第一ビル 3F,34.788055,135.461243
ラ ターブル ド クラージュ,豊中駅 394m,フレンチ,旬の食材を使った本格フレンチを厳選ワインと共に堪能♦落ち着きのある空間で寛ぎのひと時を,3.4,57,5597,"￥10,000～￥14,999","￥3,000～￥3,999",大阪府豊中市本町7-1-28 B1,34.789349,135.464386
ホルモン 焼肉 ガスステーション,庄内駅 157m,焼肉、ホルモン,【庄内駅3分】国産肉の焼肉と豊富な韓国料理をカジュアルな空間で満喫◆貸切要相談,3.02,1,23,"￥4,000～￥4,999",-,大阪府豊中市庄内東町4-3-3,34.749485,135.476532
牛閣,服部天神駅 351m,焼肉、居酒屋、韓国料理,◆宴会場完備◆牛一頭買いだからできる安心価格！“国産和牛”の希少部位を上質な炭火焼肉として,3.08,28,954,"￥4,000～￥4,999",-,大阪府豊中市服部南町3丁目3-10,34.760456,135.475983
亀は萬年,曽根駅 221m,居酒屋、日本料理、海鮮,【曽根駅から徒歩3分】全てが店内仕込みの創作で一息つける、曽根の縁起が良いほんまもん居酒屋,3.54,152,6866,"￥4,000～￥4,999",-,大阪府豊中市曽根西町3-7-1,34.772659,135.464874
バー コル,庄内駅 219m,バー,,3.04,6,45,"￥2,000～￥2,999",-,大阪府豊中市庄内東町3-8-16 カサ・ラティード 1F,34.751884,135.476562
